ccle	efo
ML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002238
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005724
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006652
MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006653
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006654
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002239
MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005265
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0001220
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006287
MS1_LUNG	EFO_0002836
MS751_CERVIX	EFO_0006456
MSTO211H_PLEURA	EFO_0002839
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0005395
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002242
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002244
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002245
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002246
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002798
NCIH1048_LUNG	EFO_0002248
NCIH1092_LUNG	EFO_0002249
NCIH1155_LUNG	EFO_0002250
NCIH1299_LUNG	EFO_0003043
NCIH1355_LUNG	EFO_0002251
NCIH1373_LUNG	EFO_0006657
NCIH1395_LUNG	EFO_0002252
NCIH1435_LUNG	EFO_0006658
NCIH1436_LUNG	EFO_0002253
NCIH1437_LUNG	EFO_0002254
NCIH146_LUNG	EFO_0006659
NCIH1563_LUNG	EFO_0002255
NCIH1568_LUNG	EFO_0006660
NCIH1573_LUNG	EFO_0002256
NCIH1581_LUNG	EFO_0002257
NCIH1618_LUNG	EFO_0002258
NCIH1623_LUNG	EFO_0002259
NCIH1648_LUNG	EFO_0003119
NCIH1650_LUNG	EFO_0002260
NCIH1651_LUNG	EFO_0002261
NCIH1666_LUNG	EFO_0002262
NCIH1693_LUNG	EFO_0006661
NCIH1694_LUNG	EFO_0002263
NCIH1703_LUNG	EFO_0002264
NCIH1734_LUNG	EFO_0006662
NCIH1770_LUNG	EFO_0002265
NCIH1781_LUNG	EFO_0006663
NCIH1792_LUNG	EFO_0002266
NCIH1793_LUNG	EFO_0002267
NCIH1838_LUNG	EFO_0002268
NCIH1869_LUNG	EFO_0006664
NCIH187_LUNG	EFO_0002269
NCIH1915_LUNG	EFO_0006666
NCIH1930_LUNG	EFO_0002270
NCIH1944_LUNG	EFO_0006667
NCIH196_LUNG	EFO_0006668
NCIH1975_LUNG	EFO_0002271
NCIH1993_LUNG	EFO_0002272
NCIH2009_LUNG	EFO_0002273
NCIH2023_LUNG	EFO_0006669
NCIH2030_LUNG	EFO_0002274
NCIH2052_PLEURA	EFO_0002275
